"no","risk","name","building","address","lat","lon","naver_url","review_note","override_lat","override_lon","override_note"
"1","large-site","송정1동제1투","송정1동행정복지센터(2층, 대회의실)","광주광역시 광산구 광산로 70 (송정동)","35.1407178","126.7987735","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EA%B4%91%EC%82%B0%EB%A1%9C%2070%20%28%EC%86%A1%EC%A0%95%EB%8F%99%29","","","",""
"2","lower","송정1동제2투","고내상경로당(1층)","광주광역시 광산구 송도로284번길 32 (송정동)","35.1382919","126.8016167","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%86%A1%EB%8F%84%EB%A1%9C284%EB%B2%88%EA%B8%B8%2032%20%28%EC%86%A1%EC%A0%95%EB%8F%99%29","","","",""
"3","school","송정1동제3투","송광중학교(후관 1층, 로비)","광주광역시 광산구 송정로 74 (송정동)","35.133403","126.7979491","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%86%A1%EC%A0%95%EB%A1%9C%2074%20%28%EC%86%A1%EC%A0%95%EB%8F%99%29","","","",""
"4","large-site","송정2동제1투","송정2동행정복지센터(2층, 회의실)","광주광역시 광산구 광산로30번길 65 (송정동)","35.1366789","126.7972507","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EA%B4%91%EC%82%B0%EB%A1%9C30%EB%B2%88%EA%B8%B8%2065%20%28%EC%86%A1%EC%A0%95%EB%8F%99%29","","","",""
"5","school","송정2동제2투","송정중학교(후관 1층, 솔마루공부방 앞 로비)","광주광역시 광산구 내상로15번길 23 (송정동)","35.1413723","126.7963269","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EB%82%B4%EC%83%81%EB%A1%9C15%EB%B2%88%EA%B8%B8%2023%20%28%EC%86%A1%EC%A0%95%EB%8F%99%29","","35.1409298","126.7964613","송정중학교 51m"
"6","large-site","송정2동제3투","라인2차아파트 생활체육관(1층, 104동 7-11라인 뒤쪽)","광주광역시 광산구 상무대로 137-2 (송정동, 라인2차아파트)","35.1335011","126.7883593","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%83%81%EB%AC%B4%EB%8C%80%EB%A1%9C%20137-2%20%28%EC%86%A1%EC%A0%95%EB%8F%99%2C%20%EB%9D%BC%EC%9D%B82%EC%B0%A8%EC%95%84%ED%8C%8C%ED%8A%B8%29","","","",""
"7","large-site","도산동제1투","도산동행정복지센터(1층, 민원실)","광주광역시 광산구 도산로 12 (도산동)","35.1294546","126.7916242","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EB%8F%84%EC%82%B0%EB%A1%9C%2012%20%28%EB%8F%84%EC%82%B0%EB%8F%99%29","","","",""
"8","school","도산동제2투","송정서초등학교(1층 1-1교실)","광주광역시 광산구 상무대로 114 (도산동)","35.1302649","126.787513","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%83%81%EB%AC%B4%EB%8C%80%EB%A1%9C%20114%20%28%EB%8F%84%EC%82%B0%EB%8F%99%29","","35.1299058","126.7876913","송정서초등학교 43m"
"9","school","도산동제3투","송정초등학교(1층, 다목적실)","광주광역시 광산구 송도로208번길 25 (도산동)","35.131215","126.7969379","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%86%A1%EB%8F%84%EB%A1%9C208%EB%B2%88%EA%B8%B8%2025%20%28%EB%8F%84%EC%82%B0%EB%8F%99%29","","","",""
"10","school","신흥동투표소","송정동초등학교(1층, 쉼터)","광주광역시 광산구 사암로27번길 58 (신촌동 1035)","35.145952","126.8043454","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%82%AC%EC%95%94%EB%A1%9C27%EB%B2%88%EA%B8%B8%2058%20%28%EC%8B%A0%EC%B4%8C%EB%8F%99%201035%29","","35.145613","126.804751","송정동초등학교 53m"
"11","school","어룡동제1투","송정중앙초등학교(1층, 체육관)","광주광역시 광산구 어등대로653번길 90 (소촌동)","35.1478478","126.795011","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%96%B4%EB%93%B1%EB%8C%80%EB%A1%9C653%EB%B2%88%EA%B8%B8%2090%20%28%EC%86%8C%EC%B4%8C%EB%8F%99%29","","35.147528","126.7949713","송정중앙초등학교 36m"
"12","lower","어룡동제2투","선운경로당(1층)","광주광역시 광산구 선운로2번길 40 (선암동)","35.1460426","126.7732862","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%84%A0%EC%9A%B4%EB%A1%9C2%EB%B2%88%EA%B8%B8%2040%20%28%EC%84%A0%EC%95%94%EB%8F%99%29","","","",""
"13","lower","어룡동제3투","광주송무정(1층, 현관로비)","광주광역시 광산구 금봉로 22-41 (소촌동)","35.1501904","126.8008322","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EA%B8%88%EB%B4%89%EB%A1%9C%2022-41%20%28%EC%86%8C%EC%B4%8C%EB%8F%99%29","","","",""
"14","large-site","어룡동제4투","어룡동행정복지센터(1층, 회의실)","광주광역시 광산구 선운중앙로67번길 6 (선암동)","35.148442","126.7798868","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%84%A0%EC%9A%B4%EC%A4%91%EC%95%99%EB%A1%9C67%EB%B2%88%EA%B8%B8%206%20%28%EC%84%A0%EC%95%94%EB%8F%99%29","","","",""
"15","school","어룡동제5투","어룡초등학교(1층, 급식실 앞 로비)","광주광역시 광산구 소촌로 122 (소촌동)","35.1551258","126.793432","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%86%8C%EC%B4%8C%EB%A1%9C%20122%20%28%EC%86%8C%EC%B4%8C%EB%8F%99%29","","","",""
