index,name,schoolName,building,address,currentLat,currentLon,candidateLat,candidateLon,distance,osmName,osmType,displayName
"26","월곡1동제2투","월곡초등학교","월곡초등학교(1층, 본관 로비)","광주광역시 광산구 월곡산정로 107 (월곡동)","35.1667926","126.814631","35.1661883","126.8146551","67","월곡초등학교","school","월곡초등학교, 월곡반월로16번길, 월곡동, 월곡1동, 광산구, 광주광역시, 62354, 대한민국"
"89","동곡동투표소","동곡초등학교","동곡초등학교(동관동 1층, 꿈실)","광주광역시 광산구 동곡로 151-17 (하산동)","35.0981127","126.7735336","35.0981838","126.7729102","57","동곡초등학교","school","동곡초등학교, 동곡로185번길, 하산동, 광산구, 광주광역시, 62461, 대한민국"
"39","첨단1동제4투","첨단초등학교","첨단초등학교(1층, 늘봄4실)","광주광역시 광산구 임방울대로 727-20 (월계동)","35.2198325","126.8372866","35.2197235","126.8378798","55","첨단초등학교","school","첨단초등학교, 임방울대로, 동원촌, 첨단1동, 광산구, 광주광역시, 62258, 대한민국"
"10","신흥동투표소","송정동초등학교","송정동초등학교(1층, 쉼터)","광주광역시 광산구 사암로27번길 58 (신촌동 1035)","35.145952","126.8043454","35.145613","126.804751","53","송정동초등학교","school","송정동초등학교, 신흥신기길, 신흥동, 광산구, 광주광역시, 62380, 대한민국"
"64","신창동제3투","수문초등학교","수문초등학교(1층, 1-4반)","광주광역시 광산구 신창로105번길 9 (신창동)","35.1947421","126.8367861","35.1942934","126.8369434","52","수문초등학교","school","수문초등학교, 신창로105번길, 용수마을, 신창동, 광산구, 광주광역시, 62250, 대한민국"
"68","신창동제7투","수문초등학교","수문초등학교(1층, 1-3반)","광주광역시 광산구 신창로105번길 9 (신창동)","35.1947421","126.8367861","35.1942934","126.8369434","52","수문초등학교","school","수문초등학교, 신창로105번길, 용수마을, 신창동, 광산구, 광주광역시, 62250, 대한민국"
"5","송정2동제2투","송정중학교","송정중학교(후관 1층, 솔마루공부방 앞 로비)","광주광역시 광산구 내상로15번길 23 (송정동)","35.1413723","126.7963269","35.1409298","126.7964613","51","송정중학교","school","송정중학교, 내상로15번길, 송정1동, 광산구, 광주광역시, 62427, 대한민국"
"61","운남동제8투","금구초등학교","금구초등학교(1층, 라온누리실)","광주광역시 광산구 임방울대로165번길 60 (운남동)","35.1769697","126.8140609","35.1765434","126.8139373","49","금구초등학교","school","금구초등학교, 60, 임방울대로165번길, 운남동, 광산구, 광주광역시, 62324, 대한민국"
"18","우산동제1투","송우초등학교","송우초등학교(1층, 현관)","광주광역시 광산구 사암로158번길 49 (우산동)","35.1592957","126.8100322","35.1588859","126.8099488","46","송우초등학교","school","송우초등학교, 우산로95번길, 우산동, 광산구, 광주광역시, 62365, 대한민국"
"36","첨단1동제1투","정암초등학교","정암초등학교(1층, 학생회의실)","광주광역시 광산구 첨단과기로 104 (월계동)","35.2231291","126.8375989","35.2227388","126.8376747","44","정암초등학교","school","정암초등학교, 첨단과기로, 동원촌, 첨단1동, 광산구, 광주광역시, 62274, 대한민국"
"8","도산동제2투","송정서초등학교","송정서초등학교(1층 1-1교실)","광주광역시 광산구 상무대로 114 (도산동)","35.1302649","126.787513","35.1299058","126.7876913","43","송정서초등학교","school","송정서초등학교, 상무대로, 도산동, 광산구, 광주광역시, 62393, 대한민국"
"48","첨단2동제8투","천곡중학교","천곡중학교(1층, 기술가사실)","광주광역시 광산구 월계로16번길 78 (월계동 766-10)","35.2119874","126.8348475","35.2116695","126.8351261","43","천곡중학교","school","천곡중학교, 월계로, 월계동, 첨단2동, 광산구, 광주광역시, 62271, 대한민국"
"41","첨단2동제1투","산월초등학교","산월초등학교(1층, 다목적실)","광주광역시 광산구 산월로9번길 36 (월계동 847-1)","35.2109398","126.8393243","35.2107673","126.8389747","37","산월초등학교","school","산월초등학교, 첨단내촌로36번길, 월계동, 첨단2동, 광산구, 광주광역시, 62271, 대한민국"
"81","수완동제13투","고실중학교","고실중학교(1층, 현관)","광주광역시 광산구 풍영로229번길 30 (수완동)","35.1929855","126.812838","35.1926735","126.8126921","37","고실중학교","school","고실중학교, 풍영로229번안길, 장덕동, 수완동, 광산구, 광주광역시, 62223, 대한민국"
"84","하남동제3투","산정초등학교","산정초등학교(2층, 강당)","광주광역시 광산구 목련로22번길 11 (산정동)","35.1723996","126.800854","35.172068","126.8008848","37","산정초등학교","school","산정초등학교, 목련로22번길, 산정동, 하남동, 광산구, 광주광역시, 62344, 대한민국"
"11","어룡동제1투","송정중앙초등학교","송정중앙초등학교(1층, 체육관)","광주광역시 광산구 어등대로653번길 90 (소촌동)","35.1478478","126.795011","35.147528","126.7949713","36","송정중앙초등학교","school","송정중앙초등학교, 소촌로42번길, 광산구, 광주광역시, 62389, 대한민국"
"21","우산동제4투","어등초등학교","어등초등학교(1층, 본관 로비)","광주광역시 광산구 월곡산정로 50 (우산동)","35.165382","126.807775","35.1656679","126.8079368","35","어등초등학교","school","어등초등학교, 월곡산정로, 월곡2동, 광산구, 광주광역시, 62344, 대한민국"
